cv_rank_f1,cv_f1,is_overfit,train_f1,test_f1,mean_fit_time,mean_test_precision,param_lgr__C,param_lgr__class_weight,param_lgr__max_iter,param_lgr__penalty,param_lgr__solver,param_lgr__tol,param_over__k_neighbors,param_over__sampling_strategy,param_selector__threshold,param_transformer__cat__combiner__rare_to_value,param_transformer__num__poly__degree,param_transformer__ohe__drop,rank_test_precision,holdout_rank_f1
47,0.6975132889358338,No,0.7094474153297683,0.7317939609236233,6.452665138244629,0.5781097873162322,0.09243593527021793,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,1.0056758356866512e-05,240,0.4,2.3980662463229944e-05,0.0075,2,if_binary,56,19
46,0.6983521615829805,No,0.7110582639714625,0.7308377896613191,0.7526814937591553,0.578904577703248,58.36278103525965,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,6.949555796835195e-05,234,0.475,8.490702866610214e-07,0.0075,1,if_binary,55,20
31,0.7040858142537558,No,0.7123947051744887,0.7295825771324864,0.6715691089630127,0.58995514580894,1.9784783765969336,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,1.426584930653688e-05,160,0.4,9.24049772582961e-07,0.0075,1,if_binary,48,21
38,0.7006879273613495,No,0.7141162514827996,0.7295373665480427,0.728749132156372,0.5795196179678347,3.7694119735114273,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,2.212962288397965e-05,243,0.42500000000000004,9.665908850967378e-06,0.0025,1,if_binary,54,22
44,0.698819923438404,No,0.7084565345949143,0.7282415630550622,0.7566471099853516,0.5760228953756054,0.42055230548083256,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,8.746622672139606e-05,248,0.45,3.153828980092918e-05,0.005,1,if_binary,57,23
51,0.6943551110498836,No,0.7281323877068557,0.7282415630550622,0.3703004837036133,0.5724584703085529,0.3579162281449643,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,7.018097564592909e-07,142,0.45,4.158384049824305e-06,0,1,if_binary,58,24
32,0.7037867484778945,No,0.7131689717378232,0.7236363636363637,0.6477903842926025,0.5873672443038579,0.5049162759316725,"{'Accepted': 0.4172, 'Rejected': 1}",5000,l2,newton-cholesky,3.747605659512716e-05,204,0.4,4.7278105314990544e-05,0.0075,1,if_binary,49,25
35,0.7014695216693222,No,0.7134363852556479,0.7224199288256229,0.6880208492279053,0.5799300481524899,27.119549616025004,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,7.027101135706891e-07,160,0.4,2.5652175624475934e-06,0.0025,1,if_binary,53,26
48,0.6963388915083246,No,0.7077881619937695,0.7213740458015266,0.6476069450378418,0.6061224769994403,0.1651112951005347,"{'Accepted': 0.3129, 'Rejected': 1}",5000,l2,newton-cholesky,2.3505235479797454e-06,198,0.4,3.924267428275425e-06,0.0025,1,if_binary,42,27
52,0.6881563035651583,No,0.6983011130638547,0.7145359019264448,0.7173707962036133,0.5622067300359859,0.11033419564871129,"{'Accepted': 0.5215000000000001, 'Rejected': 1}",5000,l2,newton-cholesky,3.5142788435479414e-06,238,0.475,1.0642605445546368e-05,0.005,1,if_binary,60,28
4,0.7255883349681025,Yes,0.7554006968641115,0.7334754797441364,4.621783971786499,0.6832989172146056,3.6634917157390063,"{'Accepted': 0.15645, 'Rejected': 1}",5000,l2,newton-cholesky,3.883219861609284e-05,238,0.42500000000000004,2.83490886801738e-05,0,2,if_binary,14,29
5,0.7247622833913145,Yes,0.753315649867374,0.7327935222672064,0.4178188323974609,0.6523415683670019,41.70545981718744,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,3.4996914901969593e-06,231,0.4,2.7204187959773646e-06,0,1,if_binary,31,30
9,0.7232311529991993,Yes,0.7368421052631579,0.7322175732217574,7.225473785400391,0.6559252438157183,6.9385253902776896,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,7.266072433171612e-05,243,0.475,8.348658324166414e-06,0.0075,2,if_binary,27,31
18,0.7159143438177454,Yes,0.7405368203716448,0.7304347826086957,3.7274771690368653,0.6756956803314418,14.402374797447274,"{'Accepted': 0.15645, 'Rejected': 1}",5000,l2,newton-cholesky,7.938279878575561e-07,256,0.4,1.3227833003878961e-05,0,2,if_binary,19,32
21,0.7135164073489634,Yes,0.7559161595672752,0.7295597484276729,5.652074193954467,0.6570169070658638,0.5224682187532353,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,3.171440674307396e-05,156,0.475,3.877821758568309e-05,0,2,if_binary,25,33
6,0.7246339106934119,Yes,0.7528466175485601,0.7295081967213115,0.3546420097351074,0.6560011595387645,48.92643802796082,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,2.8599516522608104e-05,176,0.5,4.354082244015838e-06,0,1,if_binary,26,34
12,0.7207455437180249,Yes,0.7411519777931991,0.7260869565217392,7.3589318752288815,0.6817860319413712,3.377054063337945,"{'Accepted': 0.15645, 'Rejected': 1}",5000,l2,newton-cholesky,2.5173114959893827e-06,283,0.42500000000000004,4.63353444615104e-05,0.0075,2,if_binary,16,35
1,0.7322809938877919,Yes,0.7498277050310131,0.7257383966244726,0.3865856170654297,0.6872565324751061,49.04895280240359,"{'Accepted': 0.15645, 'Rejected': 1}",5000,l2,newton-cholesky,2.300468496480991e-06,257,0.4,1.1722478574244064e-05,0,1,if_binary,12,36
34,0.7024950480765642,Yes,0.7199391171993912,0.7146282973621103,6.655873584747314,0.7113927362111091,55.88385727860809,"{'Accepted': 0.1043, 'Rejected': 1}",5000,l2,newton-cholesky,1.0171934635320496e-05,143,0.42500000000000004,7.838746418666184e-07,0.0075,2,if_binary,9,37
11,0.7209342117446458,Yes,0.7311522048364154,0.7136563876651983,0.8817356109619141,0.6788356558458262,9.847438725682792,"{'Accepted': 0.15645, 'Rejected': 1}",5000,l2,newton-cholesky,4.4697289640837975e-05,150,0.475,1.6147102093062055e-05,0.0025,1,if_binary,18,38
7,0.7242321616359483,Yes,0.7347795661301609,0.7133479212253829,6.194488620758056,0.6867637642946074,1.213687365645604,"{'Accepted': 0.15645, 'Rejected': 1}",5000,l2,newton-cholesky,7.769875094953384e-05,239,0.42500000000000004,2.1318734156596575e-06,0.0025,2,if_binary,13,39
13,0.7197741752169934,Yes,0.7343532684283728,0.7133479212253829,6.416088533401489,0.681390265734093,1.1312325308659186,"{'Accepted': 0.15645, 'Rejected': 1}",5000,l2,newton-cholesky,1.0187829634618148e-05,163,0.42500000000000004,4.3107991898309296e-05,0.0075,2,if_binary,17,40
29,0.7049351043284189,Yes,0.7126781695423856,0.7119437939110069,6.312141418457031,0.7122812780681053,69.3636219272834,"{'Accepted': 0.1043, 'Rejected': 1}",5000,l2,newton-cholesky,1.0173299606036273e-06,299,0.4,2.7078890136245964e-06,0.0075,2,if_binary,8,41
15,0.718142882988553,Yes,0.7380787836903939,0.7088607594936709,0.7196815967559814,0.6739125621911702,53.10082804761146,"{'Accepted': 0.15645, 'Rejected': 1}",5000,l2,newton-cholesky,1.2438972379746784e-06,274,0.4,1.0014123953924235e-05,0.0025,1,if_binary,20,42
26,0.7104535838140075,Yes,0.7282535401213756,0.707112970711297,7.024940347671508,0.6527726363213385,0.19082684992689367,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,3.0298442759389576e-06,156,0.4,1.254228011992933e-06,0.0025,2,if_binary,29,43
24,0.7108409627765694,Yes,0.7524883875248839,0.7024793388429752,0.41941027641296386,0.652438662583807,0.4377754967705608,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,9.365609343125895e-06,154,0.42500000000000004,7.802285653442424e-07,0,1,if_binary,30,44
8,0.7239559995870956,Yes,0.7357293868921776,0.7019867549668874,0.7611879825592041,0.6831775299783922,70.36999742696794,"{'Accepted': 0.15645, 'Rejected': 1}",5000,l2,newton-cholesky,4.738411970169545e-06,229,0.5,1.8756233472065695e-06,0.0075,1,if_binary,15,45
36,0.7013708522572786,Yes,0.719298245614035,0.7016806722689076,6.555038261413574,0.646850704999269,0.14319719027768954,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,5.1478124304026366e-05,239,0.45,7.642915479463818e-07,0.0025,2,if_binary,32,46
27,0.7082504553824265,Yes,0.7206965840589417,0.7012448132780084,0.7064497470855713,0.6431067628377385,0.7928492867288773,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,2.2609996780967116e-05,270,0.475,3.087753992163628e-05,0.0075,1,if_binary,33,47
39,0.7006545761804358,Yes,0.7269961977186311,0.6968973747016708,6.286173105239868,0.7108761381922875,58.62849327382867,"{'Accepted': 0.1043, 'Rejected': 1}",5000,l2,newton-cholesky,7.178029799435357e-07,267,0.42500000000000004,5.563700754527633e-06,0.005,2,if_binary,10,48
50,0.6952040545295513,Yes,0.7152406417112299,0.6916666666666667,0.898404884338379,0.636657910217654,0.2903580039741205,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,1.8775172087859328e-06,275,0.45,2.0416548348546253e-05,0.005,1,if_binary,34,49
43,0.6996840911393172,Yes,0.7519656897784132,0.6909090909090909,3.5026487350463866,0.6945888955661365,0.14402285163118536,"{'Accepted': 0.15645, 'Rejected': 1}",5000,l2,newton-cholesky,8.492973523603545e-07,174,0.4,1.150068875212012e-05,0,2,if_binary,11,50
42,0.7002678927728108,Yes,0.7124528301886791,0.6873508353221958,7.303107881546021,0.7218700854700854,1.54197561514363,"{'Accepted': 0.1043, 'Rejected': 1}",5000,l2,newton-cholesky,9.460976940269707e-06,154,0.45,3.582066161066771e-06,0.0075,2,if_binary,5,51
41,0.7002776765382155,Yes,0.7204220045214769,0.6872037914691943,7.345149850845337,0.7154300479881874,2.7222965414749467,"{'Accepted': 0.1043, 'Rejected': 1}",5000,l2,newton-cholesky,1.578152419381705e-05,159,0.4,9.475746138352578e-07,0.0025,2,if_binary,6,52
53,0.681713126469532,Yes,0.703216374269006,0.6621004566210046,0.8018204212188721,0.6634741004799982,0.3387343778124813,"{'Accepted': 0.15645, 'Rejected': 1}",5000,l2,newton-cholesky,8.88399642348628e-06,286,0.475,1.0994254558362999e-05,0.0075,1,if_binary,21,53
54,0.6697268764172354,Yes,0.6962552011095701,0.6608695652173914,0.6867643356323242,0.635027549692646,0.10068035484010018,"{'Accepted': 0.2086, 'Rejected': 1}",5000,l2,newton-cholesky,3.744936567932172e-06,231,0.42500000000000004,1.0455108001240564e-06,0.005,1,if_binary,35,54
55,0.6667693343019521,Yes,0.6928783382789319,0.654627539503386,0.7040328979492188,0.6598211082421608,0.24559819968673313,"{'Accepted': 0.15645, 'Rejected': 1}",5000,l2,newton-cholesky,3.090818701347754e-05,224,0.475,1.4661963391455463e-06,0.0025,1,if_binary,24,55
56,0.6419898275084701,Yes,0.6709991876523153,0.6381909547738694,0.6775467872619629,0.7132354541394809,0.45295350685794916,"{'Accepted': 0.1043, 'Rejected': 1}",5000,l2,newton-cholesky,1.1110289535085367e-06,279,0.5,3.268570316593667e-05,0.005,1,if_binary,7,56
57,0.6377690319489568,Yes,0.7077435470441298,0.6375321336760926,6.213117218017578,0.7650229132105177,0.09054151597732613,"{'Accepted': 0.1043, 'Rejected': 1}",5000,l2,newton-cholesky,1.5107671179493986e-06,264,0.42500000000000004,2.7553580362710843e-05,0,2,if_binary,2,57
59,0.5737507800217854,Yes,0.5981818181818181,0.5674157303370786,0.7091833591461182,0.7364797761239992,0.13360477476482954,"{'Accepted': 0.1043, 'Rejected': 1}",5000,l2,newton-cholesky,1.4786982908949236e-06,209,0.5,2.7314003680134705e-05,0.0075,1,if_binary,4,58
58,0.5739342748884109,Yes,0.6965699208443272,0.5314285714285714,0.44260454177856445,0.7844385779040017,0.09115592205509708,"{'Accepted': 0.1043, 'Rejected': 1}",5000,l2,newton-cholesky,8.904458670262071e-05,193,0.5,3.053626757132582e-06,0,1,if_binary,1,59
60,0.516830281073249,Yes,0.5591798695246971,0.4985507246376812,0.7764503002166748,0.7431674318241482,0.08766291721840415,"{'Accepted': 0.1043, 'Rejected': 1}",5000,l2,newton-cholesky,3.330461056548342e-06,235,0.475,3.3698462131054454e-05,0.005,1,if_binary,3,60
